,['n. \xe5\x88\x86\xe8\xa7\xa3\xef\xbc\x9b\xe7\xbb\x86\xe7\x9b\xae\xe5\x88\x86\xe7\xb1\xbb']
coffeepot,['n. \xe5\x92\x96\xe5\x95\xa1\xe5\xa3\xb6']
layman,['n. \xe4\xbf\x97\xe4\xba\xba\xef\xbc\x8c\xe7\x8a\xaf\xe4\xba\xba\xef\xbc\x9b\xe5\xa4\x96\xe8\xa1\x8c']
stanza,['n. \xef\xbc\x88\xe8\xaf\x97\xef\xbc\x89\xe8\x8a\x82\xef\xbc\x8c\xe6\xae\xb5']
cripple,['vt. \xe5\x89\x8a\xe5\xbc\xb1\xef\xbc\x9b\xe4\xbd\xbf\xe6\xae\x8b\xe5\xba\x9f']
institution,['n. \xe6\x9c\xba\xe6\x9e\x84\xef\xbc\x9b\xe6\x83\xaf\xe4\xbe\x8b']
bush,['n. \xe7\x9f\xae\xe6\xa0\x91\xe4\xb8\x9b']
version,['n. \xe8\xaf\x91\xe6\x9c\xac\xef\xbc\x8c\xe8\xaf\x91\xe6\x96\x87']
scissors,['n. \xe5\x89\xaa\xe5\x88\x80']
disgust,['n. \xe5\x8e\x8c\xe6\x81\xb6\xef\xbc\x8c\xe5\xab\x8c\xe6\x81\xb6']
instrumentalist,['n. \xe5\x99\xa8\xe4\xb9\x90\xe5\xae\xb6\xef\xbc\x8c\xe5\x99\xa8\xe4\xb9\x90\xe6\xbc\x94\xe5\xa5\x8f\xe8\x80\x85']
integrate,['vt. \xe4\xbd\xbf\xe6\x88\x90\xe4\xb8\xba\xe6\x95\xb4\xe4\xbd\x93\xef\xbc\x8c\xe4\xbd\xbf\xe4\xb8\x80\xe4\xbd\x93\xe5\x8c\x96']
announce,['vt. \xe5\xae\xa3\xe5\xb8\x83\xef\xbc\x8c\xe9\x80\x9a\xe5\x91\x8a']
adequate,['adj. \xe8\xb6\xb3\xe5\xa4\x9f\xe7\x9a\x84\xef\xbc\x8c\xe5\x85\x85\xe5\xae\x9e\xe7\x9a\x84']
rectangle,['n. \xe9\x95\xbf\xe6\x96\xb9\xe5\xbd\xa2']
exhale,['vt. \xe5\x91\xbc\xe5\x87\xba\xef\xbc\x8c\xe5\x91\xbc\xe6\xb0\x94']
continuity,['n. (\xe6\x97\xb6\xe9\x97\xb4\xe6\x88\x96\xe7\xa9\xba\xe9\x97\xb4\xe7\x9a\x84)\xe8\xbf\x9e\xe7\xbb\xad\xe6\x80\xa7\xef\xbc\x8c\xe8\xbf\x9e\xe8\xb4\xaf\xe6\x80\xa7']
plate,['n. \xe7\x9b\x98\xe5\xad\x90\xef\xbc\x9b\xe7\x89\x88\xe5\x9b\xbe\xef\xbc\x9b\xe5\xa4\xa7\xe7\x89\x87\xe5\xb9\xb3\xe9\x9d\xa2']
sunglasses,['n. \xe5\xa4\xaa\xe9\x98\xb3\xe9\x95\x9c\xef\xbc\x9b\xe5\xa2\xa8\xe9\x95\x9c']
reconstruction,['n. \xe5\xa4\x8d\xe5\x85\xb4\xef\xbc\x8c\xe6\x94\xb9\xe9\x80\xa0\xef\xbc\x8c\xe5\x86\x8d\xe5\xbb\xba']
precarious,['adj. \xe4\xb8\x8d\xe7\xa8\xb3\xe5\xae\x9a\xe7\x9a\x84\xef\xbc\x9b\xe5\x8d\xb1\xe9\x99\xa9\xe7\x9a\x84']
systematize,['v. \xe4\xbd\xbf\xe7\xb3\xbb\xe7\xbb\x9f\xe5\x8c\x96\xef\xbc\x9b\xe5\xb0\x86\xe2\x80\xa6\xe5\x88\x86\xe7\xb1\xbb']
hostility,['n. \xe6\x95\x8c\xe6\x84\x8f\xef\xbc\x8c\xe6\x95\x8c\xe5\xaf\xb9']
chromosphere,['n. \xe8\x89\xb2\xe7\x90\x83']
denounce,['vt. \xe5\x85\xac\xe7\x84\xb6\xe6\x8a\xa8\xe5\x87\xbb\xef\xbc\x8c\xe8\xb0\xb4\xe8\xb4\xa3']
leisure,['n. \xe7\xa9\xba\xe9\x97\xb2\xef\xbc\x8c\xe9\x97\xb2\xe6\x9a\x87']
degradation,['n. \xe9\x80\x80\xe5\x8c\x96\xef\xbc\x9b\xe9\x99\x8d\xe7\xba\xa7\xef\xbc\x8c\xe9\x99\x8d\xe6\xa0\xbc']
ecologist,['n. \xe7\x94\x9f\xe6\x80\x81\xe5\xad\xa6\xe8\x80\x85']
neoclassical,['adj. \xe6\x96\xb0\xe5\x8f\xa4\xe5\x85\xb8\xe4\xb8\xbb\xe4\xb9\x89\xe7\x9a\x84']
telecommuter,['n. \xef\xbc\x88\xe9\x80\x9a\xe8\xbf\x87\xe5\x9c\xa8\xe7\xba\xbf\xe6\x96\xb9\xe5\xbc\x8f\xef\xbc\x89\xe8\xbf\x9c\xe8\xb7\x9d\xe7\xa6\xbb\xe5\xb7\xa5\xe4\xbd\x9c\xe8\x80\x85']
haunted,"['adj. \xe9\x97\xb9\xe9\xac\xbc\xe7\x9a\x84,\xe9\xac\xbc\xe9\xad\x82\xe5\x87\xba\xe6\xb2\xa1\xe7\x9a\x84,\xe5\x8f\x97\xe5\x88\xb0\xe6\x8a\x98\xe7\xa3\xa8\xe7\x9a\x84']"
cushion,['n. \xe5\x9e\xab\xe5\xad\x90\xef\xbc\x8c\xe8\xbd\xaf\xe5\x9e\xab']
wedding,['n. \xe5\xa9\x9a\xe7\xa4\xbc']
receptionist,['n. \xe6\x8b\x9b\xe5\xbe\x85\xe5\x91\x98']
reconstruct,['vt. \xe9\x87\x8d\xe5\xbb\xba\xef\xbc\x8c\xe6\x94\xb9\xe8\xbf\x9b']
considerate,['adj. \xe8\x80\x83\xe8\x99\x91\xe5\x91\xa8\xe5\x88\xb0\xe7\x9a\x84\xef\xbc\x8c\xe4\xbd\x93\xe8\xb4\xb4\xe7\x9a\x84']
suspender,['n. \xe5\x90\x8a\xe8\xa3\xa4\xe5\xb8\xa6']
layout,['n. \xe8\xa7\x84\xe5\x88\x92\xef\xbc\x8c\xe8\xae\xbe\xe8\xae\xa1']
profoundly,['adv. \xe6\xb7\xb1\xe6\xb7\xb1\xe5\x9c\xb0\xef\xbc\x8c\xe8\xa1\xb7\xe5\xbf\x83\xe5\x9c\xb0']
chronological,['adj. \xe6\x8c\x89\xe5\xb9\xb4\xe4\xbb\xa3\xe9\xa1\xba\xe5\xba\x8f\xe6\x8e\x92\xe5\x88\x97\xe7\x9a\x84']
bar,['n. \xe9\x85\x92\xe5\x90\xa7 snack bar \xe5\xbf\xab\xe9\xa4\x90\xe5\xba\x97']
traction,['n. \xe7\x89\xb5\xe5\xbc\x95']
legislation,['n. \xe7\xab\x8b\xe6\xb3\x95']
sticky,['adj. \xe7\xb2\x98\xe7\x9a\x84\xef\xbc\x8c\xe7\xb2\x98\xe6\x80\xa7\xe7\x9a\x84']
igneous,['adj. \xef\xbc\x88\xe5\x9c\xb0\xe7\x90\x86\xef\xbc\x89\xe7\x81\xab\xe7\x9a\x84\xef\xbc\x8c\xe7\x81\xab\xe6\x88\x90\xe7\x9a\x84']
boarder,['n. \xe5\xaf\x84\xe5\xae\xbf\xe8\x80\x85\xef\xbc\x9b\xe5\xaf\x84\xe7\x94\x9f\xe8\x80\x85']
patch,['n. \xe7\x89\x87\xef\xbc\x8c\xe5\x9d\x97']
microscope,['n. \xe6\x98\xbe\xe5\xbe\xae\xe9\x95\x9c']
erupt,['vi. \xe5\x96\xb7\xe5\x87\xba\xef\xbc\x8c\xe7\x88\x86\xe5\x8f\x91']
architecture,['n. \xe5\xbb\xba\xe7\xad\x91\xef\xbc\x9b\xe5\xbb\xba\xe7\xad\x91\xe5\xad\xa6']
isolation,['n. \xe9\x9a\x94\xe7\xa6\xbb\xef\xbc\x9b\xe5\xad\xa4\xe7\xab\x8b']
ban,['vt. \xe7\xa6\x81\xe6\xad\xa2\xef\xbc\x8c\xe6\x9f\xa5\xe7\xa6\x81']
plainspoken,['adj. \xe7\x9b\xb4\xe8\xa8\x80\xe4\xb8\x8d\xe8\xae\xb3\xe7\x9a\x84']
implication,['n. \xe6\x9a\x97\xe7\xa4\xba\xef\xbc\x8c\xe6\x84\x8f\xe4\xb9\x89']
hasten,['vt. \xe5\x8a\xa0\xe9\x80\x9f']
automatic,['adj. \xe8\x87\xaa\xe5\x8a\xa8(\xe5\x8c\x96)\xe7\x9a\x84\xef\xbc\x9b\xe6\x97\xa0\xe6\x84\x8f\xe8\xaf\x86\xe7\x9a\x84\xef\xbc\x8c\xe6\x9c\xba\xe6\xa2\xb0\xe7\x9a\x84']
take into accou,['\xe8\xaf\x8d\xe7\xbb\x84 \xe9\x87\x8d\xe8\xa7\x86\xef\xbc\x8c\xe8\x80\x83\xe8\x99\x91']
respond,['vi. \xe5\x9b\x9e\xe7\xad\x94\xef\xbc\x8c\xe5\x8f\x8d\xe5\xba\x94']
fragrant,['adj. \xe9\xa6\x99\xe7\x9a\x84\xef\xbc\x8c\xe8\x8a\xac\xe8\x8a\xb3\xe7\x9a\x84']
mandatory,['adj. \xe5\x91\xbd\xe4\xbb\xa4\xe7\x9a\x84\xef\xbc\x8c\xe5\xbc\xba\xe5\x88\xb6\xe7\x9a\x84']
disaster,['n. \xe7\x81\xbe\xe9\x9a\xbe\xef\xbc\x8c\xe4\xb8\x8d\xe5\xb9\xb8\xef\xbc\x9b\xe5\xbd\xbb\xe5\xba\x95\xe7\x9a\x84\xe5\xa4\xb1\xe8\xb4\xa5']
fascinating,['adj. \xe8\xbf\xb7\xe4\xba\xba\xe7\x9a\x84\xef\xbc\x8c\xe9\x86\x89\xe4\xba\xba\xe7\x9a\x84']
pry open,['\xe8\xaf\x8d\xe7\xbb\x84 \xe6\x92\xac\xe5\xbc\x80']
imitate,['vt. \xe4\xbb\xbf\xe6\x95\x88\xef\xbc\x8c\xe6\xa8\xa1\xe4\xbb\xbf']
overtire,['vt. \xe4\xbd\xbf\xe8\xbf\x87\xe5\xba\xa6\xe7\x96\xb2\xe5\x8a\xb3']
fluffy,['adj. \xe7\xbb\x92\xe6\xaf\x9b\xe7\x9a\x84\xef\xbc\x8c\xe6\x9d\xbe\xe8\xbd\xaf\xe7\x9a\x84']
saddle,['n. \xe9\x9e\x8d\xe5\xad\x90\xef\xbc\x8c\xe9\xa9\xac\xe9\x9e\x8d']
wax,['n. \xe8\x9c\x82\xe8\x9c\xa1\xef\xbc\x9b\xe8\x9c\xa1\xe7\x8a\xb6\xe7\x89\xa9']
plumage,['n. \xe9\xb8\x9f\xe7\xb1\xbb\xe7\xbe\xbd\xe6\xaf\x9b']
nontraditional,['adj \xe4\xb8\x8d\xe9\x81\xb5\xe7\x85\xa7\xe4\xbc\xa0\xe7\xbb\x9f\xe7\x94\x9f\xe6\xb4\xbb\xe7\x9a\x84']
synchronize,['vt. \xe5\x90\x8c\xe6\xad\xa5\xef\xbc\x8c\xe5\x90\x8c\xe6\x97\xb6\xe5\x8f\x91\xe7\x94\x9f']
suited,['adj. \xe9\x80\x82\xe5\x90\x88\xe7\x9a\x84\xef\xbc\x8c\xe5\x8c\xb9\xe9\x85\x8d\xe7\x9a\x84']
miserable,['adj. \xe7\x97\x9b\xe8\x8b\xa6\xe7\x9a\x84\xef\xbc\x8c\xe6\x82\xb2\xe6\x83\xa8\xe7\x9a\x84\xef\xbc\x8c\xe5\x8f\xaf\xe6\x80\x9c\xe7\x9a\x84']
nocturnal,"['adj. \xe5\xa4\x9c\xe7\x9a\x84, \xe5\xa4\x9c\xe6\x9b\xb2\xe7\x9a\x84']"
optimum,['adj. \xe6\x9c\x80\xe9\x80\x82\xe5\xae\x9c\xe7\x9a\x84']
strenuously,['adv. \xe5\xa5\x8b\xe5\x8f\x91\xe5\x9c\xb0\xef\xbc\x8c\xe8\xb4\xb9\xe5\x8a\x9b\xe5\x9c\xb0']
prototypical,['adj. \xe5\x8e\x9f\xe5\x9e\x8b\xe7\x9a\x84']
endotherm,['n. \xe6\xb8\xa9\xe8\xa1\x80\xe5\x8a\xa8\xe7\x89\xa9\xef\xbc\x8c\xe6\x81\x92\xe6\xb8\xa9\xe5\x8a\xa8\xe7\x89\xa9']
gentility,['n. \xe6\x9c\x89\xe6\x95\x99\xe5\x85\xbb\xef\xbc\x8c\xe6\x96\x87\xe9\x9b\x85']
combustion,['n. \xe7\x87\x83\xe7\x83\xa7']
capacity,['n. \xe5\xae\xb9\xe9\x87\x8f\xef\xbc\x9b\xe8\x83\xbd\xe5\x8a\x9b']
inappropriate,['adj. \xe4\xb8\x8d\xe9\x80\x82\xe5\xbd\x93\xe7\x9a\x84\xef\xbc\x8c\xe4\xb8\x8d\xe7\x9b\xb8\xe7\xa7\xb0\xe7\x9a\x84']
predecessor,['n. \xe5\x89\x8d\xe8\xbe\x88\xef\xbc\x8c\xe5\x89\x8d\xe4\xbb\xbb']
propulsion,['n. \xe6\x8e\xa8\xe8\xbf\x9b\xef\xbc\x9b\xe6\x8e\xa8\xe8\xbf\x9b\xe5\x8a\x9b']
scrap,['n. \xe5\xba\x9f\xe6\x96\x99\xef\xbc\x8c\xe6\xae\x8b\xe4\xbd\x99\xe7\x89\xa9']
festive,['adj. \xe6\xac\xa2\xe5\xae\xb4\xe7\x9a\x84\xef\xbc\x8c\xe8\x8a\x82\xe6\x97\xa5\xe7\x9a\x84']
compensation,['n. \xe8\xa1\xa5\xe5\x81\xbf\xef\xbc\x8c\xe8\xb5\x94\xe5\x81\xbf']
artificial,['adj. \xe4\xba\xba\xe9\x80\xa0\xe7\x9a\x84\xef\xbc\x8c\xe4\xba\xba\xe5\xb7\xa5\xe7\x9a\x84']
extol,['vt. \xe8\xb5\x9e\xe7\xbe\x8e']
score,['n. \xe5\x88\x86\xe6\x95\xb0\xef\xbc\x8c\xe5\xbe\x97\xe5\x88\x86\xef\xbc\x9b\xe5\x88\xbb\xe7\x97\x95\xef\xbc\x8c\xe5\x88\x92\xe7\x97\x95']
impending,['adj. \xe5\x8d\xb3\xe5\xb0\x86\xe5\x8f\x91\xe7\x94\x9f\xe7\x9a\x84\xef\xbc\x8c\xe9\x80\xbc\xe8\xbf\x91\xe7\x9a\x84']
cooperation,['n. \xe5\x90\x88\xe4\xbd\x9c\xef\xbc\x8c\xe5\x8d\x8f\xe4\xbd\x9c']
cellist,['n. \xe5\xa4\xa7\xe6\x8f\x90\xe7\x90\xb4\xe5\xae\xb6']
conceptual,['adj. \xe6\xa6\x82\xe5\xbf\xb5\xe4\xb8\x8a\xe7\x9a\x84']
balloonist,['n. \xe6\xb0\x94\xe7\x90\x83\xe9\xa9\xbe\xe9\xa9\xb6\xe8\x80\x85']
baboon,['n. \xe7\x8b\x92\xe7\x8b\x92']
approach,['n. \xe6\x96\xb9\xe6\xb3\x95']
lethargic,['adj. \xe6\x98\x8f\xe7\x9d\xa1\xe7\x9a\x84\xef\xbc\x9b\xe6\x87\x92\xe6\xb4\x8b\xe6\xb4\x8b\xe7\x9a\x84\xef\xbc\x8c\xe8\x90\x8e\xe9\x9d\xa1\xe4\xb8\x8d\xe6\x8c\xaf\xe7\x9a\x84']
magnesium,['n. \xe9\x95\x81']
preserve,['vt. \xe4\xbf\x9d\xe6\x8a\xa4\xef\xbc\x8c\xe4\xbf\x9d\xe5\xad\x98']
warrior,['n. \xe6\x88\x98\xe5\xa3\xab\xef\xbc\x8c\xe5\x8b\x87\xe5\xa3\xab']
reiterate,['vt. \xe9\x87\x8d\xe7\x94\xb3\xef\xbc\x8c\xe5\x8f\x8d\xe5\xa4\x8d\xe5\x9c\xb0\xe8\xaf\xb4']
rudimentary,['adj. \xe5\x9f\xba\xe6\x9c\xac\xe7\x9a\x84\xef\xbc\x9b\xe5\x88\x9d\xe6\xad\xa5\xe7\x9a\x84\xef\xbc\x8c\xe5\x8f\x91\xe5\xb1\x95\xe6\x9c\xaa\xe5\xae\x8c\xe5\x85\xa8\xe7\x9a\x84']
venture,['n. \xe5\x86\x92\xe9\x99\xa9\xef\xbc\x88\xe4\xba\x8b\xe4\xb8\x9a\xef\xbc\x89\xef\xbc\x8c\xe6\x8a\x95\xe6\x9c\xba\xe6\xb4\xbb\xe5\x8a\xa8']
extend,['v. \xe5\xbb\xb6\xe9\x95\xbf\xef\xbc\x9b\xe6\x89\xa9\xe5\xa4\xa7']
confusion,['n. \xe6\xb7\xb7\xe4\xb9\xb1\xef\xbc\x8c\xe6\xb7\xb7\xe6\xb7\x86']
handful,"['n. \xe4\xb8\x80\xe6\x8a\x8a, \xe5\xb0\x91\xe6\x95\xb0']"
veil,['vt. \xe9\x9a\x90\xe8\x97\x8f\xef\xbc\x8c\xe9\x81\xae\xe8\x94\xbd       n. \xe9\x9d\xa2\xe7\xba\xb1']
ignorance,['n. \xe6\x97\xa0\xe7\x9f\xa5\xef\xbc\x8c\xe4\xb8\x8d\xe4\xba\x86\xe8\xa7\xa3']
residual,['adj. \xe5\x89\xa9\xe4\xbd\x99\xe7\x9a\x84\xef\xbc\x8c\xe6\xae\x8b\xe7\x95\x99\xe7\x9a\x84']
inextricably,['adv. \xe6\x97\xa0\xe6\xb3\x95\xe6\x91\x86\xe8\x84\xb1\xe5\x9c\xb0']
larynx,['n. [\xe8\xa7\xa3] \xe5\x96\x89']
devour,['vt. \xe8\xb4\xaa\xe5\xa9\xaa\xe5\x9c\xb0\xe5\x90\x83\xef\xbc\x8c\xe5\x90\x9e\xe9\xa3\x9f']
aquarium,['n. \xe6\xb0\xb4\xe6\x97\x8f\xe9\xa6\x86']
dismembered,['adj. \xe8\x82\xa2\xe8\xa7\xa3\xe7\x9a\x84']
contamination,['n. \xe7\x8e\xb7\xe6\xb1\xa1\xef\xbc\x8c\xe6\xb1\xa1\xe6\x9f\x93']
wedge-shaped,['adj. \xe6\xa5\x94\xe5\xbd\xa2\xe7\x9a\x84']
carnivorous,['adj. \xe9\xa3\x9f\xe8\x82\x89\xe7\x9a\x84']
debt,['n. \xe5\x80\xba\xe5\x8a\xa1']
excavate,['vt. \xe6\x8c\x96\xe6\x8e\x98\xef\xbc\x8c\xe6\x8c\x96\xe5\x87\xba']
drowsy,['adj. \xe6\x98\x8f\xe6\x98\x8f\xe6\xac\xb2\xe7\x9d\xa1\xe7\x9a\x84']
ham,['n. \xe7\x81\xab\xe8\x85\xbf\xef\xbc\x9b\xe5\xa4\xa7\xe8\x85\xbf']
conglomerate,['n. \xe6\xb7\xb7\xe5\x90\x88']
climate,['n. \xe6\xb0\x94\xe5\x80\x99\xef\xbc\x9b\xe7\xa4\xbe\xe4\xbc\x9a\xe9\xa3\x8e\xe6\xb0\x94\xe6\x88\x96\xe8\xb6\x8b\xe5\x8a\xbf']
accident,['n. \xe6\x84\x8f\xe5\xa4\x96\xe4\xba\x8b\xe4\xbb\xb6\xef\xbc\x8c\xe4\xba\x8b\xe6\x95\x85']
sunflower,['n. \xe5\x90\x91\xe6\x97\xa5\xe8\x91\xb5']
irregular,['adj. \xe4\xb8\x8d\xe8\xa7\x84\xe5\x88\x99\xe7\x9a\x84\xef\xbc\x8c\xe4\xb8\x8d\xe6\x95\xb4\xe9\xbd\x90\xe7\x9a\x84']
waive,['v. \xe6\x94\xbe\xe5\xbc\x83\xef\xbc\x9b\xe5\x85\x8d\xe9\x99\xa4']
resistant,['adj. \xe6\x8a\xb5\xe6\x8a\x97\xe7\x9a\x84\xef\xbc\x8c\xe6\x9c\x89\xe6\x8a\xb5\xe6\x8a\x97\xe5\x8a\x9b\xe7\x9a\x84']
fault,['n. \xef\xbc\x88\xe5\x9c\xb0\xe8\xb4\xa8\xe5\xad\xa6\xef\xbc\x89\xe6\x96\xad\xe5\xb1\x82']
secular,['adj. \xe4\xb8\x96\xe4\xbf\x97\xe7\x9a\x84\xef\xbc\x8c\xe5\xb0\x98\xe4\xb8\x96\xe7\x9a\x84']
postulate,['vt. \xe8\xa6\x81\xe6\xb1\x82\xef\xbc\x9b\xe5\x81\x87\xe5\xae\x9a']
adventurer,['n. \xe5\x86\x92\xe9\x99\xa9\xe5\xae\xb6']
jelly,['n. \xe6\x9e\x9c\xe5\x86\xbb\xef\xbc\x8c\xe8\x83\xb6\xe7\x8a\xb6\xe7\x89\xa9']
incense,['n. \xe7\x86\x8f\xe9\xa6\x99\xef\xbc\x9b\xe7\x84\x9a\xe9\xa6\x99\xe7\x9a\x84\xe7\x83\x9f']
torrent,['n. \xe8\xbf\x9e\xe5\x8f\x91\xef\xbc\x8c\xe8\xbf\xb8\xe5\x8f\x91']
facet,['n. \xe9\x9d\xa2\xef\xbc\x9b\xef\xbc\x88\xe9\x97\xae\xe9\xa2\x98\xe7\xad\x89\xe7\x9a\x84\xef\xbc\x89\xe6\x96\xb9\xe9\x9d\xa2']
odds,"['n. \xe5\x8f\xaf\xe8\x83\xbd\xe7\x9a\x84\xe6\x9c\xba\xe4\xbc\x9a, \xe6\x88\x90\xe8\xb4\xa5\xe7\x9a\x84\xe5\x8f\xaf\xe8\x83\xbd\xe6\x80\xa7, \xe5\x87\xa0\xe7\x8e\x87']"
disastrous,['adj. \xe6\x8d\x9f\xe5\xa4\xb1\xe6\x83\xa8\xe9\x87\x8d\xe7\x9a\x84\xef\xbc\x9b\xe6\x82\xb2\xe4\xbc\xa4\xe7\x9a\x84']
contribute to,['\xe8\xaf\x8d\xe7\xbb\x84 \xe6\x9c\x89\xe5\x8a\xa9\xe4\xba\x8e\xef\xbc\x8c\xe5\xaf\xb9\xe2\x80\xa6\xe8\xb5\xb7\xe4\xbd\x9c\xe7\x94\xa8']
fertile,['adj. \xe8\x82\xa5\xe6\xb2\x83\xe7\x9a\x84\xef\xbc\x8c\xe5\xaf\x8c\xe9\xa5\xb6\xe7\x9a\x84\xef\xbc\x9b\xe8\x83\xbd\xe7\xb9\x81\xe6\xae\x96\xe7\x9a\x84']
furry,['adj. \xe6\xaf\x9b\xe7\x9a\xae\xe7\x9a\x84\xef\xbc\x9b\xe7\x9b\x96\xe7\x9d\x80\xe7\x9a\xae\xe6\xaf\x9b\xe7\x9a\x84']
tentacle,['n. \xe8\xa7\xa6\xe8\xa7\x92\xef\xbc\x8c\xe8\xa7\xa6\xe9\xa1\xbb\xef\xbc\x8c\xe8\xa7\xa6\xe6\x89\x8b']
distinction,['n. \xe5\xb7\xae\xe5\x88\xab\xef\xbc\x8c\xe7\x89\xb9\xe6\x80\xa7']
monopolize,['vt. \xe7\x8b\xac\xe5\x8d\xa0\xef\xbc\x8c\xe5\x9e\x84\xe6\x96\xad']
magnetosphere,['n. \xe7\xa3\x81\xe6\xb0\x94\xe5\x9c\x88']
homespun,['adj. \xe6\x9c\xb4\xe7\xb4\xa0\xe7\x9a\x84\xef\xbc\x9b\xe5\xae\xb6\xe9\x87\x8c\xe7\xba\xba\xe7\xbb\x87\xe7\x9a\x84']
reveal,['vt. \xe5\xb1\x95\xe7\x8e\xb0\xef\xbc\x9b\xe6\x8f\xad\xe9\x9c\xb2']
eradicate,['vt. \xe6\xa0\xb9\xe9\x99\xa4\xef\xbc\x8c\xe6\x9d\x9c\xe7\xbb\x9d']
negotiation,['n. \xe5\x95\x86\xe8\xae\xae\xef\xbc\x8c\xe8\xb0\x88\xe5\x88\xa4']
ingenious,['adj. \xe6\x9c\xba\xe7\x81\xb5\xe7\x9a\x84\xef\xbc\x8c\xe6\x9c\x89\xe7\x8b\xac\xe5\x88\x9b\xe6\x80\xa7\xe7\x9a\x84']
presumably,"['adv. \xe6\x8e\xa8\xe6\xb5\x8b\xe8\xb5\xb7\xe6\x9d\xa5, \xe5\xa4\xa7\xe6\xa6\x82']"
exemplary,['adj. \xe6\xa8\xa1\xe8\x8c\x83\xe7\x9a\x84\xef\xbc\x8c\xe5\x85\xb8\xe8\x8c\x83\xe7\x9a\x84\xef\xbc\x8c\xe5\x8f\xaf\xe4\xbb\xbf\xe6\x95\x88\xe7\x9a\x84']
abbreviate,['vt. \xe7\xbc\xa9\xe7\x9f\xad\xef\xbc\x9b\xe7\xbc\xa9\xe5\x86\x99']
confide,['vt. \xe5\x90\x90\xe9\x9c\xb2\xef\xbc\x88\xe5\xbf\x83\xe4\xba\x8b\xef\xbc\x89\xef\xbc\x8c\xe5\x80\xbe\xe8\xaf\x89']
irresponsible,['adj. \xe4\xb8\x8d\xe8\xb4\x9f\xe8\xb4\xa3\xe4\xbb\xbb\xe7\x9a\x84\xef\xbc\x8c\xe4\xb8\x8d\xe5\x8f\xaf\xe9\x9d\xa0\xe7\x9a\x84']
relaxation,['n. \xe6\x9d\xbe\xe5\xbc\x9b\xef\xbc\x8c\xe7\xbc\x93\xe5\x92\x8c']
vast,['adj. \xe5\xb7\xa8\xe5\xa4\xa7\xe7\x9a\x84\xef\xbc\x8c\xe5\xa4\xa7\xe9\x87\x8f\xe7\x9a\x84\xef\xbc\x9b\xe8\x8c\x83\xe5\x9b\xb4\xe5\xb9\xbf\xe7\x9a\x84']
nonconformist,['adj./n. \xe4\xb8\x8d\xe9\x81\xb5\xe7\x85\xa7\xe4\xbc\xa0\xe7\xbb\x9f\xe7\x94\x9f\xe6\xb4\xbb\xe7\x9a\x84\xef\xbc\x88\xe4\xba\xba\xef\xbc\x89']
incessant,['adj. \xe4\xb8\x8d\xe5\x81\x9c\xe7\x9a\x84\xef\xbc\x8c\xe8\xbf\x9e\xe7\xbb\xad\xe7\x9a\x84']
gap,['n. \xe8\xa3\x82\xe5\x8f\xa3\xef\xbc\x9b\xe7\xbc\xba\xe5\x8f\xa3']
canyon,['n. \xe5\xb3\xa1\xe8\xb0\xb7']
massive,['adj. \xe5\xa4\xa7\xe8\x80\x8c\xe9\x87\x8d\xe7\x9a\x84\xef\xbc\x8c\xe5\xba\x9e\xe5\xa4\xa7\xe7\x9a\x84\xef\xbc\x9b\xe5\x8f\xaf\xe8\xa7\x82\xe7\x9a\x84']
inactivate,['vt. \xe4\xbd\xbf\xe2\x80\xa6\xe4\xb8\x8d\xe6\xb4\xbb\xe8\xb7\x83']
comprehension,['n. \xe7\x90\x86\xe8\xa7\xa3\xef\xbc\x8c\xe5\x8c\x85\xe5\x90\xab']
foray,['n. \xe8\xa2\xad\xe5\x87\xbb']
labor movement,['\xe8\xaf\x8d\xe7\xbb\x84 \xe5\x8a\xb3\xe5\xb7\xa5\xe8\xbf\x90\xe5\x8a\xa8']
majestic,['adj. \xe5\xa3\xae\xe8\xa7\x82\xe7\x9a\x84\xef\xbc\x8c\xe5\xba\x84\xe4\xb8\xa5\xe7\x9a\x84']
frenetic,['adj. \xe7\x8b\x82\xe4\xb9\xb1\xe7\x9a\x84\xef\xbc\x8c\xe5\x8f\x91\xe7\x8b\x82\xe7\x9a\x84']
jeweler,['n. \xe5\xae\x9d\xe7\x9f\xb3\xe5\x95\x86\xef\xbc\x8c\xe5\xae\x9d\xe7\x9f\xb3\xe5\x8c\xa0']
zealous,['adj. \xe7\x83\xad\xe5\xbf\x83\xe7\x9a\x84\xef\xbc\x9b\xe7\x8b\x82\xe7\x83\xad\xe7\x9a\x84']
panel,['n. \xe9\x95\xb6\xe6\x9d\xbf']
comical,['adj. \xe6\xbb\x91\xe7\xa8\xbd\xe7\x9a\x84\xef\xbc\x8c\xe5\xa5\xbd\xe7\xac\x91\xe7\x9a\x84']
conference,['n. \xe4\xbc\x9a\xe8\xae\xae\xef\xbc\x9b\xe5\x8d\x8f\xe5\x95\x86\xe4\xbc\x9a\xef\xbc\x8c\xe8\xae\xa8\xe8\xae\xba\xe4\xbc\x9a']
tint,['vt. \xe7\xbb\x99\xe2\x80\xa6\xe7\x9d\x80\xe8\x89\xb2\xef\xbc\x9b\xe6\x9f\x93']
immobile,['adj. \xe7\xa8\xb3\xe5\xae\x9a\xe7\x9a\x84\xef\xbc\x8c\xe4\xb8\x8d\xe5\x8a\xa8\xe7\x9a\x84\xef\xbc\x8c\xe9\x9d\x99\xe6\xad\xa2\xe7\x9a\x84']
